target_id	length	eff_length	est_counts	tpm
NR_123721	5208	5008.99	29.9274	1.65397
NR_036753	258	70.4386	0	0
NR_125392	163	29.6537	0	0
NR_103835	804	604.994	0	0
NR_045637	659	459.994	3.49298	2.1021
NR_137425	2282	2082.99	0	0
NR_045634	4190	3990.99	21.7514	1.50875
NR_026971	2187	1987.99	15	2.08875
NR_045636	4064	3864.99	0	0
NR_121610	643	443.994	0	0
NR_137424	2300	2100.99	0	0
NR_028340	734	534.994	0	0
NR_028339	3352	3152.99	0	0
NR_110094	2103	1903.99	0	0
NR_027035	2568	2368.99	2.00333	0.234099
NR_120550	386	187.013	0	0
NR_132117	2908	2708.99	5	0.510942
NR_038974	474	274.994	5	5.03335
NR_046546	1132	932.994	2	0.593419
NR_108075	1432	1232.99	1	0.224517
NR_027447	1872	1672.99	27.5613	4.56053
NR_110536	685	485.994	1.14889	0.654424
NR_045414	740	540.994	0	0
NR_102703	596	396.994	0	0
NR_109756	763	563.994	3	1.47251
NR_121598	254	67.7663	0	0
NR_038251	1507	1307.99	1	0.211643
NR_024274	616	416.994	0	0
NR_104136	495	295.994	0	0
NR_103787	947	747.994	0	0
NR_029380	1332	1132.99	2	0.488666
NR_038833	967	767.994	0	0
NR_038866	2603	2403.99	11.0064	1.26742
NR_047482	1903	1703.99	9	1.46213
NR_103441	1531	1331.99	0	0
NR_047502	2280	2080.99	0	0
NR_024009	1532	1332.99	0	0
NR_126425	379	180.025	0	0
NR_038845	1642	1442.99	0	0
NR_024586	3615	3415.99	32.2291	2.61181
NR_034027	2062	1862.99	6.78008	1.00747
NR_047476	800	600.994	0	0
NR_125724	623	423.994	2.24638	1.46668
NR_038857	1644	1444.99	2	0.383155
NR_121597	332	133.592	3	6.21659
NR_103792	3567	3367.99	2.03275	0.167079
NR_103539	602	402.994	0	0
NR_125758	905	705.994	10	3.92111
NR_126376	950	750.994	0	0
NR_133640	1159	959.994	0	0
NR_038231	2454	2254.99	3	0.368287
NR_133638	2521	2321.99	1.03423	0.123301
NR_133639	1320	1120.99	0	0
NR_039846	78	16.6602	0	0
NR_037421	180	34.0682	0	0
NR_038338	1612	1412.99	17.9999	3.52647
NR_038957	1313	1113.99	9.65078	2.39822
NR_038339	1455	1255.99	28.3702	6.25294
NR_046262	5346	5146.99	58.1616	3.12819
NR_038337	1743	1543.99	0	0
NR_147061	2252	2052.99	0	0
NR_038956	1338	1138.99	11.3492	2.75838
NR_034118	1678	1478.99	20.1407	3.7698
NR_036446	1670	1470.99	2	0.376382
NR_002940	7238	7038.99	13.3855	0.526422
NR_155204	1409	1209.99	2	0.457569
NR_039651	66	15.4083	0	0
NR_003365	1078	878.994	0	0
NR_036153	77	16.5554	0	0
NM_001324076	542	342.994	5.77371	4.65992
NR_033257	733	533.994	0	0
NR_002836	1976	1776.99	7.20327	1.12216
NR_145735	148	26.4358	0	0
NR_029392	1575	1375.99	5	1.00592
NR_146728	1720	1520.99	0	0
NR_146393	2729	2529.99	0	0
NR_145749	144	25.6685	0	0
NR_148945	1727	1527.99	48	8.6962
NR_146394	2498	2298.99	0	0
NR_002746	77	16.5554	0	0
NR_126046	1064	864.994	30.4461	9.7438
NR_126044	2357	2157.99	0	0
NR_024472	1858	1658.99	3.00268	0.501042
NR_015363	2682	2482.99	8.55146	0.953399
NR_126045	1633	1433.99	13.8774	2.679
NR_040073	604	404.994	3	2.05061
NR_126347	779	579.994	0	0
NR_146317	652	452.994	1	0.611108
NR_036526	3218	3018.99	2	0.183391
NR_002821	494	294.994	1.52408	1.43023
NR_039792	64	15.1973	0	0
NR_135007	2557	2357.99	15.4477	1.81356
NR_073060	969	769.994	0	0
NR_073059	989	789.994	0	0
NR_134854	1666	1466.99	19.4404	3.66849
NR_003002	275	82.8196	0	0
NR_003008	278	85.1688	0	0
NR_036529	5797	5597.99	15.9378	0.788144
NR_036528	6930	6730.99	0	0
NR_036527	6348	6148.99	11.1597	0.50241
NR_036534	2442	2242.99	5	0.617095
NR_122048	692	492.994	9	5.05372
NR_138252	819	619.994	1	0.446501
NR_134535	3432	3232.99	2	0.171252
NR_102390	1478	1278.99	0	0
NR_003693	99	18.9805	0	0
NR_031692	62	14.9844	0	0
NR_146185	1745	1545.99	0	0
NR_146183	1809	1609.99	25.6927	4.4177
NR_146184	2031	1831.99	0	0
NR_030311	94	18.3995	0	0
NR_155740	539	339.994	2	1.62843
NR_155752	872	672.994	4	1.64535
NR_155748	379	180.025	0	0
NR_038450	564	364.994	1	0.758446
NR_117094	2754	2554.99	28.6074	3.09955
NR_110742	690	490.994	0	0
NR_038952	1976	1776.99	6	0.934707
NR_038951	2131	1931.99	0	0
NR_146593	4373	4173.99	0	0
NR_146591	3788	3588.99	0	0
NR_146588	3441	3241.99	0	0
NR_039949	80	16.8705	0	0
NR_146590	3681	3481.99	0	0
NR_038988	3492	3292.99	5.23093	0.439742
NR_146592	3532	3332.99	0	0
NR_030285	94	18.3995	0	0
NR_134477	3413	3213.99	25.5636	2.20185
NR_144393	866	666.994	10.2474	4.25306
NR_024187	728	528.994	11.8475	6.19993
NR_144394	3275	3075.99	0	0
NR_003254	363	164.089	0	0
NR_144395	3164	2964.99	59.7079	5.57465
NR_040114	827	627.994	2	0.881627
NR_131192	1726	1526.99	10.4898	1.90169
NR_120609	2884	2684.99	5.0039	0.515911
NR_149071	441	241.994	0	0
NR_024261	2453	2253.99	5	0.614083
NR_001554	795	595.994	1	0.464481
NR_036632	2356	2156.99	2	0.256679
NR_001555	1062	862.994	0.5	0.160388
NR_002195	1062	862.994	0.5	0.160388
NR_036132	78	16.6602	0	0
NR_147988	106	19.835	0	0
NR_131236	652	452.994	0	0
NR_033936	3357	3157.99	3.1224	0.273708
NR_146557	933	733.994	0	0
NR_033899	2033	1833.99	1	0.150943
NR_131237	571	371.994	3	2.23252
NR_146556	1259	1059.99	0	0
NR_026811	3114	2914.99	31.7472	3.01493
NR_003607	1381	1181.99	0	0
NR_073405	11532	11333	10.7228	0.261924
NR_136578	432	232.994	0	0
NR_132320	1006	806.994	1.02999	0.353323
NR_002781	1215	1015.99	2	0.54494
NR_028062	7240	7040.99	171.142	6.72874
NR_024243	119	21.5765	0	0
NR_024342	120	21.7199	0	0
NR_024220	120	21.7199	0	0
NR_024258	120	21.7199	0	0
NR_004435	122	22.0114	0	0
NR_024242	121	21.8649	0	0
NR_024231	120	21.7199	0	0
NR_024343	121	21.8649	0	0
