target_id	length	eff_length	est_counts	tpm
NR_123721	5208	5008.99	16.7252	2.00007
NR_036753	258	70.4386	0	0
NR_125392	163	29.6537	0	0
NR_103835	804	604.994	0	0
NR_045637	659	459.994	0	0
NR_137425	2282	2082.99	0	0
NR_045634	4190	3990.99	0	0
NR_026971	2187	1987.99	0	0
NR_045636	4064	3864.99	0	0
NR_121610	643	443.994	0	0
NR_137424	2300	2100.99	0	0
NR_028340	734	534.994	0	0
NR_028339	3352	3152.99	0	0
NR_110094	2103	1903.99	0	0
NR_027035	2568	2368.99	0	0
NR_120550	386	187.013	0	0
NR_132117	2908	2708.99	1	0.221113
NR_038974	474	274.994	1	2.17821
NR_046546	1132	932.994	0	0
NR_108075	1432	1232.99	0	0
NR_027447	1872	1672.99	0	0
NR_110536	685	485.994	0	0
NR_045414	740	540.994	0	0
NR_102703	596	396.994	0	0
NR_109756	763	563.994	0	0
NR_121598	254	67.7663	0	0
NR_038251	1507	1307.99	0	0
NR_024274	616	416.994	0	0
NR_104136	495	295.994	0	0
NR_103787	947	747.994	0	0
NR_029380	1332	1132.99	0	0
NR_038833	967	767.994	0	0
NR_038866	2603	2403.99	1.0977	0.27351
NR_047482	1903	1703.99	0	0
NR_103441	1531	1331.99	0	0
NR_047502	2280	2080.99	0	0
NR_024009	1532	1332.99	8	3.59488
NR_126425	379	180.025	0	0
NR_038845	1642	1442.99	0	0
NR_024586	3615	3415.99	8	1.4028
NR_034027	2062	1862.99	0	0
NR_047476	800	600.994	0	0
NR_125724	623	423.994	0	0
NR_038857	1644	1444.99	0	0
NR_121597	332	133.592	0	0
NR_103792	3567	3367.99	2	0.355698
NR_103539	602	402.994	0	0
NR_125758	905	705.994	0	0
NR_126376	950	750.994	0	0
NR_133640	1159	959.994	0	0
NR_038231	2454	2254.99	0	0
NR_133638	2521	2321.99	0	0
NR_133639	1320	1120.99	0	0
NR_039846	78	16.6602	0	0
NR_037421	180	34.0682	0	0
NR_038338	1612	1412.99	0	0
NR_038957	1313	1113.99	0	0
NR_038339	1455	1255.99	3	1.43073
NR_046262	5346	5146.99	6	0.698265
NR_038337	1743	1543.99	0	0
NR_147061	2252	2052.99	0	0
NR_038956	1338	1138.99	0	0
NR_034118	1678	1478.99	0	0
NR_036446	1670	1470.99	1	0.407204
NR_002940	7238	7038.99	5	0.425483
NR_155204	1409	1209.99	0	0
NR_039651	66	15.4083	0	0
NR_003365	1078	878.994	0	0
NR_036153	77	16.5554	0	0
NM_001324076	542	342.994	0	0
NR_033257	733	533.994	0	0
NR_002836	1976	1776.99	0	0
NR_145735	148	26.4358	0	0
NR_029392	1575	1375.99	0	0
NR_146728	1720	1520.99	0	0
NR_146393	2729	2529.99	0	0
NR_145749	144	25.6685	0	0
NR_148945	1727	1527.99	24	9.40832
